
YEAR,DOY,ALLSKY_SFC_UVA,T2M,WS2M,PRECTOTCORR,QV2M
2024,358,0.08,1.51,1.53,0.47,4.17
2024,359,0.07,-0.4,1.22,0.05,3.57
2024,360,0.08,-0.46,0.96,0.01,3.12
2024,361,0.14,-1.16,1.62,0.0,2.98
2024,362,0.07,0.0,1.55,0.41,3.48
2024,363,0.07,0.16,1.36,0.3,3.7
2024,364,0.09,-0.06,2.5,0.04,3.56
2024,365,0.11,-0.02,4.41,0.49,3.6
2024,366,0.07,-0.05,4.34,0.04,3.44
2025,1,0.09,0.27,6.18,0.0,3.04
