
YEAR,DOY,ALLSKY_SFC_UVA,T2M,WS2M,PRECTOTCORR,QV2M
2024,310,0.81,16.62,2.21,5.09,8.4
2024,311,0.86,15.75,1.59,0.01,7.47
2024,312,0.34,18.25,3.24,5.59,11.67
2024,313,0.25,20.02,4.2,12.74,12.99
2024,314,0.81,15.66,1.79,0.01,6.24
2024,315,0.8,17.07,1.48,0.0,7.38
2024,316,0.81,16.92,1.5,0.0,7.72
2024,317,0.81,16.48,2.12,0.18,8.26
2024,318,0.76,16.77,3.98,0.0,7.99
2024,319,0.81,14.3,1.54,0.0,5.1
2024,320,0.81,13.37,2.05,0.0,5.08
2024,321,0.66,15.73,3.84,0.0,8.66
2024,322,0.39,20.19,2.71,8.82,12.96
2024,323,0.35,19.52,5.98,11.11,10.91
2024,324,0.77,14.85,2.57,0.0,6.98
2024,325,0.78,10.33,3.57,0.0,3.92
2024,326,0.76,10.97,2.21,0.0,4.33
2024,327,0.75,10.58,1.22,0.0,4.71
2024,328,0.71,13.24,3.1,0.0,5.55
2024,329,0.64,18.2,4.82,0.0,9.84
2024,330,0.36,11.91,4.25,0.0,7.01
2024,331,0.7,8.94,2.19,0.0,4.41
2024,332,0.61,15.48,4.82,0.0,7.21
2024,333,0.43,7.41,4.47,0.0,3.53
2024,334,0.71,6.03,1.64,0.0,3.24
2024,335,0.68,7.69,2.33,0.0,3.73
2024,336,0.68,8.02,1.68,0.0,4.63
2024,337,0.68,9.37,1.44,0.0,4.73
2024,338,0.67,7.99,2.13,0.0,4.42
2024,339,0.19,10.24,1.24,6.61,6.95
2024,340,0.62,7.77,3.46,0.13,4.15
2024,341,0.64,5.27,1.61,0.04,3.06
2024,342,0.33,7.15,2.28,12.71,5.36
2024,343,0.31,9.21,3.04,1.49,6.72
2024,344,0.64,11.25,2.52,0.05,6.72
2024,345,0.56,6.07,4.49,0.0,4.07
2024,346,0.67,6.44,2.55,0.0,3.05
2024,347,0.57,8.47,3.9,0.0,3.44
2024,348,0.25,12.4,4.52,0.94,7.7
2024,349,0.58,15.57,2.98,1.56,7.67
2024,350,0.33,16.41,3.01,0.16,10.22
2024,351,0.34,19.39,3.38,5.17,12.43
2024,352,0.46,17.05,2.29,1.16,10.33
2024,353,0.61,11.07,4.41,1.65,5.7
2024,354,0.63,8.68,1.67,0.01,4.77
2024,355,0.67,6.76,3.13,0.0,3.61
2024,356,0.65,4.76,2.37,0.0,3.55
2024,357,0.54,8.27,3.67,0.0,4.64
2024,358,0.4,14.28,4.79,0.11,8.31
2024,359,0.3,15.02,3.11,22.95,10.01
2024,360,0.2,11.41,1.52,0.28,7.58
2024,361,0.2,12.7,2.19,24.98,8.88
2024,362,0.63,13.12,2.4,1.1,7.05
2024,363,0.17,13.42,1.34,12.38,8.86
2024,364,0.44,12.4,1.87,0.06,8.41
2024,365,0.67,13.56,3.9,0.0,6.75
2024,366,0.69,8.61,3.64,0.0,4.61
2025,1,0.66,5.51,2.1,0.0,3.71
